often	keyword	no	sex	age	occupation	town	area	stay	expression	count
43	生活	577	女性	60	8	浪江町	4	県内	借り上げも平成２８年３月まで延びました。浪江町に戻りたいと思いますが、今を見ているとだめかとも思います。<span class="selected">生活</span>が安定していないので、とても心身ともに不安定で、薬を飲んでいます。震災前は、薬など飲まず、とても元気だったのに悔しいです。１日も早く落ち着いた<span class="selected">生活</span>がしたいと、切に願っています。	142
40	町	113	男性	70	10	浪江町	4	県内	ふるさと浪江<span class="selected">町</span>は何らかの形で残ってほしいです。親、兄弟、先祖の墓があります。私もいずれはそのお墓に入るつもりです。	57
29	避難	419	男性	70	3		4	県外	自給自足に近い生活から、すべて消費生活になり、生活費が多くなってきた。<span class="selected">避難</span>解除されれば、生活の立て直しができないうちから税金が取られ、諸経費の援助も打ち切られるなか、賠償も打ち切られれば、生活ができるだろうかと心配しています。生活（元の生活）できるまでは、すべて打ち切らないようにしてほしいと思っています。関東地方のテレビを見ていると、福島の現在の情報が少ない。３年８か月を過ぎて、現在の双葉地方の、福島のことが、知らない人が多い。	216
26	浪江町	425	女性	70	2	浪江町	4	県内	今、遠くに避難している子どもや孫がふるさとに帰って来たときに何もないなんていうことのないように。<span class="selected">浪江町</span>に残っている自宅やお墓はそのままにしておきたいです。	77
25	国	123	男性	60	2	浪江町	4	県内	<span class="selected">国</span>、県、町が帰還を進めているのなら、新しい町作りのために、建物の解体、除染を進めてほしい。公共性の強い「町づくり会社」をもっと活用できるようにする。	74
22	ふるさと	628	男性	60	1	富岡町	4	県内	たった一言、「１日でも早く、<span class="selected">ふるさと</span>に帰りたい」	24
22	今	25	男性	70	2	浪江町	4	県内	<span class="selected">今</span>ごろ、もう遅いです。帰らないです。浪江町は歴史の町にしよう。	31
21	原発	62	女性	40	3	双葉町	4	県外	事故を起こした当の<span class="selected">原発</span>をはじめ、国・行政が頼りにならないのが情けない。	35
21	帰還	81	男性	70	10	浪江町	4	県内	早期の復興、<span class="selected">帰還</span>を進めないと、だんだんと<span class="selected">帰還</span>者が少なくなると思う。	33
16	将来	589	女性	50	10	浪江町	4	県内	将来のことを考えだすと先が見えず、不安になるだけ。１日、１日、無事に過ごせたことで精一杯。	45
15	復興	205	男性	70	10	富岡町	4	県内	福島第一原発、および、第二原発の廃炉を<span class="selected">復興</span>に優先して、環境整備をしてほしい。	38
15	賠償	846	女性	40	10	浪江町	4	県内	避難者の<span class="selected">賠償</span>が町によって大きな差がある。原発事故ですべてを失った。同じ状況で避難生活をしなくてはならなくなったのだから、同じ補償でなければならないはず。みずから命を絶ったり、病気になったり、惨めな生活を送ることになったり、生活が一変してしまった。今後の東電、政府の対応を責任を持って私たち住民個々の生活を理解してしっかりしてもらいたい。避難者以外の方々にも理解して受け入れてもらいたい。	193
15	家	1014	女性	70	10	浪江町	4	県内	１年に２，３回ですが、一時帰宅時にだんだん浪江に帰りたいと思うようになり、でも持ち<span class="selected">家</span>が帰るたびにいたんでいくのが切ないです。毎月の給料とボーナスから支払いをして作った<span class="selected">家</span>ですので、子どもたちは帰らないと言っていますが、私と母は帰りたいと思っています。<span class="selected">家</span>に住むには手をかけないといけない状態です。浪江にできるであろう災害住宅に入って、いずれは自分の<span class="selected">家</span>に住みたいと思います。インフラ、病院、商店、銀行なども早く充実していただければと思っています。	220
14	現在	729	男性	60	10	富岡町	4	県内	<span class="selected">現在</span>はいわき市内に住居を求めて住んでいます。あくまで仮住まいという感覚です。富岡にはインフラ整備など、その他の条件が整ったときには戻りたいと思っています。（何年先になるか現時点では不明です）	95
14	東京電力	781	男性	30	4	富岡町	4	県内	<span class="selected">東京電力</span>にもっと賠償してもらわないと私たちの生活再建ができずにいます。原発爆発前に住んでいた所、仕事、地域のつながり、故郷、すべてを奪われて、東京電力が許せません。	82
13	事故	317	男性	60	10	浪江町	4	県内	おそらく以前のような町には戻らないと思いますが、<span class="selected">事故</span>前のように田畑で売れる作物が作れればいいなと思います。早く国による除染を進めてもらいたい。やることが遅い。（何をやっても遅い）	89
11	不安	473	男性	60	5	浪江町	4	県内	私たちの最もの<span class="selected">不安</span>は、何年後に帰還できるか。それとも、何年まで避難しなければならないのか。それが決断できない理由です。もっと国が積極的に説明すべき。	74
11	場所	261	男性	60	10	富岡町	4	県内	「戻らない」の所に書いたように、子どもたちの住んでいる栃木県足利市のほうに中古物件を探すつもりでおります。これからますます年を重ね、３時間ほどかかる<span class="selected">場所</span>に、いつまで運転し、孫の顔を見ることができるかも分からず、身体のほうも心配なので、少しでも元気なうちに子どもたちの役に立ちたいとの思いと、孫の顔が見える場所近くで住んでいたいと思い、ふるさとを捨てる覚悟です。	180
11	住民	531	男性	50	5	浪江町	4	県内	帰還する<span class="selected">住民</span>が少なければ、新たなコンパクトな町づくりを検討すべきだと思います。	39
11	子ども	1005	女性	60	3	浪江町	4	県内	一日も早く自由に<span class="selected">子ども</span>から老人まで町へ出入りできるようになってほしいです。住めるような環境を早く知らせて下さい。	56
10	母	534	女性	40	3	浪江町	4	県外	年老いた<span class="selected">母</span>が生まれ育った町に、１日も早く帰れるように。子どもたちが帰れるふるさとを早く元に戻してほしい。	52
