often	keyword	no	sex	age	occupation	town	area	stay	expression	count
90	町	7	男性	70	1	浪江町	3	県内	震災から３年８か月もすぎ、各自、家を買う人たちが出てきている状況のなかで、前回のアンケート調査にあるように、<span class="selected">町</span>には帰らない人が４７％との結果が出ました。<span class="selected">町</span>の行政は成り立って行くのでしょうか、それが心配です。	103
59	生活	1178	男性	50	3	富岡町	3	県内	特に環境省、それに役場、東電、復興は進んでいくと思いますが、私たちの避難<span class="selected">生活</span>をじゃまするようなことはしないでほしいです。内容的にはここに書ききれないので書きません。環境省はとんでもないことをしてくれました。私の家族の心はばらばらばです。	118
34	今	336	男性	60	10	富岡町	3	県内	<span class="selected">今</span>は身の回りのことで精一杯で、全体像までは思いつかない。	28
31	家	697		60	2	富岡町	3	県内	現在、仮設住宅としている土地を撤去後、区画整理をして分譲などを考えてほしい。早く前のような生活体系に戻りたい。（現在、<span class="selected">家</span>族がバラバラ）	67
30	避難	92	男性	60	5	浪江町	3	県内	<span class="selected">避難</span>元に戻っても若い人たちは戻らない。町を作っても３０年くらいすると、人は少人数になるのでは。医療機関、スーパーなど不便である。線路に生い茂った雑草を見ていると、電車もなかなか年月がかかりそうだし、車（高速道路）は通っても、運転できなくなると不便な所には住みたくないと思うが、なら、どこに住むかとなると、浜通りしか住んだことがないので、判断できずに４年を迎えようとしている。地に足がついていないこの状態は、とてもストレスでならない。南相馬は医療機関は医師が少なく、入院もままならない状態。	244
30	住宅	1002	男性	70	10	富岡町	3	県内	町営<span class="selected">住宅</span>にいつでも入居できるよう。できるだけ早く修繕してほしい２年以内が限界。	39
29	将来	215	女性	50	8	浪江町	3	県内	<span class="selected">将来</span>の居住は、息子のそばにと考えております。何事があっても安心して暮らせると思うからです。放射能という目に見えない物質を考えますと、孫は近寄らせることはできないです。大人の役目です。	91
28	ふるさと	1070	男性	60	10	浪江町	3	県内	復旧、復興の具体的な姿が見えてきません。若い人は戻らない、町は限界集落となってしまいます。人の集まる町作りをしなければなりません。そこで提案ですが、発想を１８０度変えましょう。新しい町作りには今までの町はすべてリセットし、日本中、いや世界中から人が集まってくるような福祉の町作りです。世界中から知識、技術者を募り、世界に１つしかない町作りを提案します。自然豊かな<span class="selected">ふるさと</span>の再生、世界に１つしかない福祉の町です。	205
27	帰還	73	男性	70	1	浪江町	3	県内	各町村でそれぞれ<span class="selected">帰還</span>構想を作っては消し、消しては作り、自治体存続ばかり考えているようだが、隣接の町村との合併とか、一市構想を作るのも一理があると思う。あくまで国主導の現状回復を目指してのものが必要と感ずる。後期高齢者は残り少ない。先の見えることがほしいものだ。	130
26	復興	260	女性	40	8	浪江町	3	県内	政治家が避難の人々に前向きになるような政治をしていない。除染も進んでいない。<span class="selected">復興</span>なんてほど遠い話。	49
24	除染	1011	男性	40	4	浪江町	3	県内	とにかく除染とインフラ復旧を実施。避難生活に私も家族も限界です。	32
22	現在	406	男性	70	2	富岡町	3	県外	原発避難者を国は見放している<span class="selected">現在</span>なので、早急に避難者の生活などを見直して、安心させてもらいたい。	48
22	国	290	女性	50	10	浪江町	3	県内	持ち家に住んでいました。避難している間に、豚に家の中は荒らされ、牛に玄関のガラスは割られ、臭いも強く、何年先が戻るにしても、この家には住めないと思います。<span class="selected">国</span>の責任で、希望者には家の取り壊しの案もお願いしたい。将来、息子たちに土地を譲るにしても、そのほうがいいから。	132
22	子ども	313	男性	70	1	富岡町	3	県内	避難指示が解除されて帰還するまで、仮設住宅に住んでいて、富岡の自宅に帰りたいと思っていますので、仮設住宅は平成２８年３月までとなっていますので、住まれることになっていますが、自宅に帰還するまで、延長していただきたいです。私の家では、犬を飼っていたので、公営住宅に入ることは無理と思います。住民帰還について、子育て世代や<span class="selected">子ども</span>が帰って生活できる時期は何年先でしょうか。心配しています。	191
21	浪江町	499	男性	60	10	浪江町	3	県内	今後、ふるさと（<span class="selected">浪江町</span>）には１０年かかると思うので、いわき市の住宅のもとで生活する。戻れるまで（１０年後）。	54
20	富岡町	1159	女性	20	8	富岡町	3	県内	このままの避難生活が何十年も続いたら<span class="selected">富岡町</span>や大熊町などの名前が忘れさられていまいそうで不安です。今、いわき市に避難していて、いわきの方々に助けられたりしていますが、やはりみんながみんな、そうではないので、避難生活をしている私たちをよく思わない人たちもいます。何かもう少し不安なく生活していければ将来のことも考えていけると思います（今は具体的に将来のことを考えるのは無理です）。	188
17	不安	488	女性	40	5	浪江町	3	県内	将来について考えることができません。<span class="selected">不安</span>ということばしかありません。ただ、震災前に戻れたらと、無理なのに思ってしまいます。	61
16	原発	761	男性	40	4	富岡町	3	県外	双葉郡は<span class="selected">原発</span>作業員の拠点になるため、治安が悪くなる（作業員にはヤクザや住所不定などがたくさんいて、東電の下請けには安易に働くことが可能で問題が多すぎる。事故前には絶対戻らないので帰還は望まない）	97
16	住民	458	男性	70	10	富岡町	3	県内	今回の原発事故にあって町を出された人間の気持ちは、外部の人間には絶対に理解できないと思います。あるとき、被災地に国会議員が来たとき、陰のほうで、仮設<span class="selected">住宅</span>にお前らが住んでみろ、と言っているのを聞いたことがありますが、彼らがもしも何日か住んだとしても、何も理解できるわけがありません。	140
16	土地	532	男性	60	10	富岡町	3	県内	<span class="selected">土地</span>を購入して郡山市に住む計画なので、二重住民票や準市民制度をよく確立して、安心に住めるようにしてもらいたい。	55
15	事故	682	男性	70	10	富岡町	3	県内	短い時間軸（１０～３０年）で全汚染地を除染し、居住可能の条件をつくる、かつてあった日常を取り戻すことなど不可能です。国家予算の大半を充当すればできないことはないが、そうもいくまい。建前を信じるほど国民は愚ではあるまいに。人・物・金でこれ以上の無駄・無理をしないこと！　ただし、原発<span class="selected">事故</span>の収束を果たしてからの話です。ふるさとを取り戻す？　いったいどのように取り戻すのか？　長い長い時間軸、６０～100年、少しずつ少しずつ、自然の力、人間の力で（放射能汚染とはいったい何なのかを考えながら…）解決する方向へ舵を取るべき！	258
14	場所	216	男性	60	10	浪江町	3	県内	将来は新しい原子力発電所、および、研究所を作ってほしい。そして、電気料金を安くして、企業誘致を進めて、働く<span class="selected">場所</span>ができてほしい。	63
14	自分	407	男性	20	10	浪江町	3	県内	<span class="selected">自分</span>は１人で暮らしており、病院が近くにないと生きていけない。生活するため、近くに商店がないと、食べる物も買えない。	57
13	地域	487	男性	70	10	浪江町	3	県内	定着した所在地の方々と交流を深め、楽しい生活をする。現在、<span class="selected">地域</span>の隣組、老人会、市の年金受給者協会、グラウンドゴルフ、吹矢などに加入している。なに不足もない。今後は住む所の地域にとけ込むことである。元自治体を気にしない。旧自宅には、１か月に１日程度帰宅、１泊くらいを楽しむ。	136
13	東京電力	1164	女性	30	5	富岡町	3	県外	富岡町の居住制限区域に借家住まいでした。夫と２人で生活していたので<span class="selected">東京電力</span>の賠償金も十分とはいえません。家族が多い家庭では子ども１人当たりも大人と同額を賠償されているため、新しい家を購入する友人が多いです。富岡町に帰るつもりはありません。将来が見えず、生活に不安を抱えています。大熊町のように町内の賠償金が一律になるように町で差額を補償することを検討してほしいです。町長は東京電力にもっと強く要望を出すべきです。	206
12	仕事	500	男性	50	4	浪江町	3	県内	駐車場６台くらい庭があり、農家だったので畑<span class="selected">仕事</span>もしたい。	28
12	自宅	698	男性	50	5	富岡町	3	県外	元々が富岡の出身ではないので「ふるさと」の意識はそれほどない。<span class="selected">自宅</span>の片付け、その後の処理を考えると気持ちが重くなってくる。父親の墓が町内にあり、自分たちが戻らないとなったら、これをどうするのか？　方向性を決めかねている。	110
12	家族	581	女性	50	1	富岡町	3	県内	３年以上もたつと、近所の人たち、みんな、それぞれ家を持ち、離れてしまいました。<span class="selected">家族</span>が少ない私は、いまだにどうしてよいか分からない状態です。	69
12	必要	396	男性	60	7	浪江町	3	県内	どんな町の姿があるのか分かりませんが（想像できません）、人が集まっての町です。人が集まる環境づくりが<span class="selected">必要</span>でしょう。戻る、戻らないにしても、いろいろな考え、意見があると思います。個々に対応してもらいたい。早く決めてもらいたい。戻れるか、戻れないか、はっきりしないから、“戻らない”と決めたんですよ。悲しいです。	154
11	希望	486	女性	50	3	浪江町	3	県内	早く仮設を出て、子どもにプライベートな空間を作ってあげたいのですが、復興公営住宅が<span class="selected">希望</span>する場所にない。入居したい住宅がほかの町の人のみというのは、残念な募集である。	82
11	アンケート	1167	男性	70	10	富岡町	3	県内	各機関で<span class="selected">アンケート</span>の種類は何度かありますが、避難民との関係が不明。（結果を示してほしい）　住居の確保が難しい。（再建しようと思っても）　時間が経るごとに困難になりつつまる。いわき市内の宅地の供給を増やし復興を早める。３０年先を目指したふるさとづくり。規模は小さくてもモデル地方都市（町）を目述にする。（合併後の検討により変革できる町づくりができる）。エネルギー供給基地としての経験を生かした産業を生かす。	202
11	今後	182	男性	60	10	富岡町	3	県内	今のところ、考えたことありません。<span class="selected">今後</span>、息子たちとよく考えて行動していきたいと思う。	42
11	みんな	171	男性	60	5	富岡町	3		二重住民票、準市民制度等々、今回、初めて聞いたことばであり、なんでもっとPR、広報できないのか。詳しく、<span class="selected">みんな</span>に知らせてほしいと思うが。	68
11	息子	906	女性	50	5	富岡町	3	県内	将来は今の市に永住しようと思います。<span class="selected">息子</span>夫婦や孫が帰れないふるさとには未練がありません。仕事もなく（<span class="selected">息子</span>）若い者は苦労するはずですが、放射能を心配しながらの生活よりは安心かなと思います。私たち夫婦はこれから先は年金生活になると思います。しかし、息子は住所がそのまま（富岡）なので、就職も難航しています。今はアルバイトですが子どもがいるので、一生懸命正社員の仕事を探しています。富岡にいれば、息子夫婦や孫と一緒に広い家に住めたのに…。現在の賠償では新しい土地では新築は無理。淋しい老後になりそうです。	249
11	居住	558	男性	60	5	浪江町	3	県内	帰還に向けた除染、復興計画が実践され、将来、ミニタウン構想が現実化してきますが、それらが近い将来、何年後にできるかどうか未確定です。できたとしても、ごく一部の住民が住める、限られた<span class="selected">居住</span>地域と思われます。避難期間が３年以上経過し、高齢者を含めた避難住民がいつまでも帰還を待てる状況ではありません。まして、帰還する時点の家屋が<span class="selected">居住</span>できる状態ではなく、それらを踏まえ、将来、国や自治体が帰還できるかどうか、環境を地区ごとに再考し、結論を公に出す必要があります。	227
11	気持ち	446	女性	50	8	富岡町	3	県内	ふるさとにも、ときどき帰れて、数時間でも戻って、昔の空間にいられたのなら、いわき市に住みながらも、たまに近所の人に会えたりできるようになるのなら、先を考えれば、それでもいいのかと考えたりします。ふるさととは関わっていたい。あと生きて２０年くらい。子どももいない２人暮らしなら、それでもいいなという<span class="selected">気持ち</span>は、はっきりしています。まず、以前のように戻ることは二度とないのだから。	187
10	近く	363	男性	70	10	浪江町	3	県内	（掃除などのため）帰町したいときに距離が遠いため、安く泊まれる宿泊施設などあるとありがたいです。<span class="selected">近く</span>に。１週間ぐらいいたいとき。	64
10	時間	790	女性	20	5	浪江町	3	県外	３年という<span class="selected">時間</span>は以前の生活ができるようなものではないと思います。町村長はいつまでも”戻るため”を考えるのではなく、”ほかへ移住”という選択肢をとるべきと考えます。いつまでも”戻りたい”しか言わないのははっきり言って見苦しい。将来の姿を想像する前に早くそう言うべき。	132
10	環境	529	男性	70	10	浪江町	3	県内	帰還できる<span class="selected">環境</span>を早急に行うこと。避難者に対して十分な補償を行うこと。	34
10	状態	450	男性	70	10	浪江町	3	県内	震災前の<span class="selected">状態</span>に早期に戻すこと。	15
