often	keyword	no	sex	age	occupation	town	area	stay	expression	count
128	町	537	男性	60	10	富岡町	3	県内	帰れる地域から順番に住めば、<span class="selected">町</span>もにぎやかになると思う。人が多くなれば、町内も活性化してくれば、ふるさとに帰りたくなる。	59
92	生活	34	女性	50	8	大熊町	1	県外	私は早く家族と暮らしたい。今は家族バラバラで、<span class="selected">生活</span>に張り合いがない。	34
54	今	138	男性	60	10	大熊町	2	県外	<span class="selected">今</span>、住んでいる所にいつまでいられるか。だめならどうしたらいいのか。	33
51	帰還	252	男性	50	6	富岡町	4	県内	<span class="selected">帰還</span>を求めている人たちは、みんな、難しいことは考えていないと思われる。インフラ整備ができしだいにでも帰還したいのだ。たったそれだけのことがなぜ、すぐできない。簡単なことだ。行動できる者がやればいい。できない者に行政をやる資格はない。ただやれることをするだけ。	129
48	国	193	男性	60	4	富岡町	1	県内	<span class="selected">国</span>は選挙のときだけ来て、あとは知らんぷり。東京電力は僕たちには何もしてくれない。いつも国と電力との話し合いばかり。	57
43	家	493	女性	60	10	浪江町	2	県内	早く帰りたい。とにかく早く<span class="selected">家</span>に帰りたい。帰りたい。気が狂いそうです。	34
41	ふるさと	361	女性	60	8	双葉町	2	県内	<span class="selected">ふるさと</span>、何十年も生活の基盤となっていた。なので、そんなに簡単には決められない。	40
39	将来	87	女性	50	10	富岡町	3	県外	現実的には元の地域の公営住宅（家賃が安価なので）に応募して住んでいったほうがよいかと思います。理想は自宅の敷地に小さな家を建て（築５８年なので、そのまま住み続けることはむずかしいかもしれません、こう何年も放置されたままでは）、たとえ、孤独死（決して悲惨だとは思いません）でもよいので、死んでいきたい。あの土地、家で精一杯生きていきたいです。<span class="selected">将来</span>の町の姿は、小さなまとまりのなかで、コンパクトで、結構、便利に暮らせていくような気がします。乱筆失礼いたします。	228
36	復興	4	男性	60	10	浪江町	2	県内	私たちのように高齢者にとって、復旧・<span class="selected">復興</span>は早急に進めてほしいと願うものであるが、限られた寿命であるので、「終の棲家」を早急に求めなければならないのも事実です。いつになったら帰還できるのかを早急に明確化してほしい。また、ふるさとに残された宅地・建物・田畑の管理を今後は国が買い上げるか、どのように処理するのかを明確化してほしい。	163
35	避難	402	男性	60	10	浪江町	3	県内	原発事故から４年近く過ぎ、<span class="selected">避難</span>先での生活がだんだんしっかりしたものになってきました。ふるさとはだんだん遠くになってきています。	63
35	除染	239	男性	60	3	浪江町		県内	<span class="selected">除染</span>の無駄。	6
33	現在	873	女性	60	10	浪江町	3	県内	<span class="selected">現在</span>は１日１日が精一杯で将来のことなど考えられません。	27
32	原発	504	女性	60	3	双葉町	2	県内	双葉町は、<span class="selected">原発</span>の収束がはたして３０年、４０年で終わり、安全になるのか。国も分からないでしょうけど、町民は気の遠くなるような年月を単純に待ってくれると思っているのでしょうか。そこをはっきりと言って、帰町するのではなく、４年も過ぎる前に手を打つことができなかったのでしょうか。私は、個人個人、みんな考えも違うので、どこにいても生活できるような補償をしていただければ、文句はないと思います。	192
32	土地	634	女性	60	4	大熊町		県内	わが家を失ったけれど補償だけでは<span class="selected">土地</span>も高く建てることができない。<span class="selected">土地</span>でも買い上げてもらえるのなら自分の家を持つことができるかもと思っているが、私たちは年金で暮らしております。大熊町に帰っても医療もなく不安で帰れない。	108
31	場所	200	男性	50	7	富岡町	3	県内	国が決めた線引きについて、富岡町は３つに分けられている。３つに分けても線量の高い<span class="selected">場所</span>がある。戻っても住めない状況なのに、国は帰す考えでいる。どう考えたって、老人は帰りたいというが、若い人は戻らないと思う。早く買い取って、仮の町を作り、富岡町に住んでいた環境にしてほしい。富岡町にいたときには３世帯で生活していたのに、家族バラバラで生活している。国は上から目線でしか見ていない。そんなに帰す考えなら、廃炉になるまで国の責任者に住んでほしい。	219
31	子ども	560		60	10	浪江町	3	県内	<span class="selected">子ども</span>たちはもう福島には帰らないと言うし、老後が少し心配です。	31
28	住宅	184	女性	50	3	浪江町	3	県内	新しい家を建てるなり、賃貸<span class="selected">住宅</span>なり、自分の住みたい地域に入居したい。	34
27	浪江町	14	女性	60	5	浪江町	4	県内	避難先から<span class="selected">浪江町</span>にあるお墓参りができるようになってほしい。	29
25	事故	717	男性	60	10	大熊町	2	県内	原発<span class="selected">事故</span>が風化されないようにマスコミなどで毎日でも放送してもらいたい。仮設の狭い部屋にいるのはもういや、４年になる。	58
25	不安	136	女性	50	4	富岡町	3	県内	郡山の仮設住宅に入居している６０代と５０代の夫婦です。私たちは復興住宅（富田２号棟•優先住宅）富岡専用のほうに入居を希望しています。正直、<span class="selected">不安</span>なのは、夫が身体障害者です。富田っていう所も詳しくは分かりません。デイサービス、そういう施設があるかどうかも分かりません。	132
25	住民	185	男性	50	10	浪江町	3	県内	本音は元の町に戻りたいですし、前の地域<span class="selected">住民</span>や自治体と一緒に生活していきたいです。浪江町が好きです。浪江町民が好きです。	59
25	東京電力	562	男性	50	5	浪江町	3	県内	国、<span class="selected">東京電力</span>、町は、今後についてどのように考えているのか知りたい。	33
22	今後	228	女性	60	10	双葉町	1	県外	一時帰宅すると、<span class="selected">今後</span>、どうなるのか不安です。高齢者にとって、１日、１日が長く感じます。	43
21	賠償	1160		60	6	浪江町	4	県内	貧しい状態の人も裕福な人も自立再建できるような<span class="selected">賠償</span>してほしい。今のやり方をみていると弱者への配慮が見られない。差別意識を仲間うちでさえ持ち、ましてやその下位にいる住民の方々に、やさしい配慮などできるわけがない。これが国を亡くす。官僚の方の人間の心の勇気ある復活を切に望む。できるし、しなくてはならない。	151
21	必要	683	男性	60	10	富岡町	3	県内	原子力発電所の<span class="selected">必要</span>性はあると思うので第二原子力発電所の運転再開をさせるべき。それに伴い雇用も生まれる。（定検を確実に実施し、安全を確保する）　再生エネルギーでは雇用は生まれない（作ったら終わり）。ＪＲの早期復旧が重要。	109
20	状態	18	男性	60	1	浪江町	2	県内	高齢者の税の負担を少なくしてほしい。一般に年金暮らしの方々は、節約、節約の<span class="selected">状態</span>。	40
20	自分	172		60	10	浪江町		県内	すでに住居を（終の棲家として）決めた人もいるなかで、いまだに決められずにいる<span class="selected">自分</span>に、あせりと疲れが半端じゃない。医療機関へのつながりもできてしまい、安住の地を決められない。	86
18	区域	481	女性	50	8	富岡町	4	県外	帰還を前提とした施策はやめるべきです。予算がうまく使われていない気がします。いたずらに時間だけが過ぎて、何も決められないまま、４年を迎えます。線量で<span class="selected">区域</span>を割り、賠償に大きな差があり、正直者がつぶされる気がしてなりません。泣く泣く諦めた数々の財産…。書いたらきりがないのですが、とにかく、決定させてほしいのです。今の町政の在り方や国の方針が、事故直後よりあいまいです。年配者の意見だけではなく、若い世代の声をもう少し話してほしいです。	216
18	補償	547	男性	60	10	富岡町	2	県内	結局、何も前に進んでいない。住民はみずから決断して動かなければならない。働いて年金を少しでも増やしたかったのに、仕事もなくしたのに、その<span class="selected">補償</span>はない。	74
17	線量	388	男性	60	7	富岡町	3	県内	除染して<span class="selected">線量</span>も下がれば（人が住む基準値）、暮らしていけると思うので、元の<span class="selected">線量</span>近くに戻してほしい。	48
17	双葉町	429	男性	60	4	双葉町	1	県内	<span class="selected">双葉町</span>は他町よりかなり遅れているので、他町に追いついてほしい。	31
16	困難	691	女性	60	10	浪江町	4	県内	自宅が避難の長期化でだんだん老化していくのが、悔しい。往復４時間かけての住宅メンテナンスは１人暮らしでは<span class="selected">困難</span>。将来を考えると暗くなるので考えないようしているが…。	81
16	居住	1	女性	60	3	浪江町		県内	<span class="selected">居住</span>も心配であるが、健康も心配である。	19
16	自宅	140	男性	60	10	浪江町	4	県内	私は早く浪江町の<span class="selected">自宅</span>へ帰りたい。	16
15	対応	20	男性	50	6	浪江町	3	県内	元の町に戻るためにはインフラ復旧や除染が必要であるが、もっと必要なことは、そもそもの元凶である福島第一原発の事故を“完全に”収束させること。現在、廃炉作業を進めているが、放射能汚染に対する不安は全く拭えていない。インフラ復旧、除染完了（完全は無理と思う）し、仕事を確保し、生活を元の町で再開したとしても、また、いつ何時、避難の状況に陥るかは分からない。よって、この<span class="selected">対応</span>も踏まえたうえで、生活を再開させなければならない。	209
15	どこ	400		60	5	双葉町	2	県内	町役場が地元に戻ると言っているが、本当に戻って生活環境が整うまでに、<span class="selected">どこ</span>でどのようにして生活するのかを教えてもらいたい。現実に戻ったとしても、老人（私も同様）だけで生活できますか。	90
15	富岡町	324	男性	50	1	富岡町	3	県内	<span class="selected">富岡町</span>は平成２９年４月以降の帰還を目指して復旧を進めている。私は、町の帰還宣言後、すぐに帰還するつもりである。富岡町では、長期間、原発事故の後始末と新しい町づくりが並行して進むことになる。そのなかで、我が家の再建と暮らしの再建をしなければならないが、すべては未知のことであり、１つ１つ課題を解決しなければならない。大震災と原発事故という災害から復興を遂げるという歴史的場面に立ち会うことで、自分も単に元に復するのではなく、そこから新たなものを見いだせればよいと考えている。町の将来も大事なことであるが、我が人生の再構築が何より大事なことである。	272
14	みんな	445	女性	60	1	浪江町	3	県内	線量が下がり、<span class="selected">みんな</span>が楽しく暮らせる町ができればよい。	27
14	地域	511	男性	60	6	浪江町	3	県外	居住制限区域では、子どもたちは戻るつもりはないので、妻と２人で自宅で将来は戻って生活したいが、同じ<span class="selected">地域</span>で戻る家が半分以下で、自分たちが戻ったとき、周りに空き家が多く発生すると思う。町、行政はどのように考えているのか、今から考えてほしい。	118
14	いつ	428	男性	50	10	富岡町	2	県内	町として、<span class="selected">いつ</span>までに帰れるのか？　きちんと答えを出してほしい！！　東京電力の賠償にしても、今の賠償金の額では、いわき市のほうに土地を買えない。（土地の値段が高い）	81
14	姿	56	男性	50	6	浪江町	4	県内	町の<span class="selected">姿</span>が見えてこない。	11
14	いわき市	342	女性	60	1	双葉町	4	県内	現在、<span class="selected">いわき市</span>に家を買いました。将来は、もう戻る気持ちはありません。	34
13	すべて	304	男性	60	10	富岡町	3	県内	<span class="selected">すべて</span>対応が遅すぎる。	11
13	時間	521	男性	50	10	浪江町	4	県内	どうなっていくのか想像がつかない。本当に自治体として成り立つのか不安である。<span class="selected">時間</span>が過ぎるほど、戻る人は少なくなると思う。人生が終わる前に自分で決断するときが来ると思う。復興するまで待てないと思う。	98
