often	keyword	no	sex	age	occupation	town	area	stay	expression	count
99	町	135	男性	70	1	浪江町	3	県内	１日も早く元の元気な<span class="selected">町</span>になることを心より祈ります。これから何年先になることやら。生きているうちに戻りたい。１日も早く。	59
71	生活	489		70	10	富岡町	4	県内	３年余り、避難先での<span class="selected">生活</span>は不便さと心の負担が大きくなってきた。自分自身も自立したと思う。前のような利便性がないのが不満。	60
52	今	522	女性	70	10	双葉町		県内	もっと若ければ、考えることも多々あるかと。<span class="selected">今</span>の年齢では考えることがむなしく、淋しく、どうにもならない！	51
51	避難	1189	男性	70	10	双葉町	2	県内	<span class="selected">避難</span>生活が長くなり、要介護状態となり希望が少なくなり、介護を支援が多くなるよう希望する。	44
51	家	1025	女性	70	10	浪江町	2	県外	帰還困難区域であっても生まれ育ったふるさとを離れることは考えたくないです。元気なうちに戻れるように願っています。<span class="selected">家</span>に帰るとしても月に一度、証明をもらってわずかな時間位しかいることができない。原発再稼働などと言っていますが、福島の人たちのこの苦しみは絶対反対です。私たちの苦しみを分かってほしいです。	149
44	国	169	男性	70	1	浪江町		県内	帰還困難区域の将来の方向性を示すこと（<span class="selected">国</span>）。帰還できる見通しがなければ、また、判断がつかないのであれば、すべての生存権、個人の権利、建物を含めた補償、賠償を改めて出すこと。国は半殺しの状態にしている。	100
44	ふるさと	1028	女性	70	10	双葉町	１，２	県外	ご先祖が開拓した土地であり、お墓もあるので、お参りして心を癒したい。また、<span class="selected">ふるさと</span>の空気に触れたい。	50
39	復興	1029	男性	70	10	楢葉町	4	県外	震災前の町の姿に戻ることは不可能であるので、最低限の<span class="selected">復興</span>対策をしてもらいたい。	39
37	浪江町	46	女性	70	10	浪江町	4	県外	高齢者なので<span class="selected">浪江町</span>で死にたい。	15
35	原発	17	女性	70	10	浪江町	4	県内	<span class="selected">原発</span>の廃炉に向けて、早くお願いしたい。	19
35	帰還	118	男性	70	10	浪江町	3	県内	居住制限区域になっている自宅は生存中に帰れる希望は失った。ここ避難地を終の住処と心に決めた。誠に口惜しい。町民の中には、ぽつぽつ帰って事業を継続しているようだが、一般の町民の<span class="selected">帰還</span>は難しく、元の町に戻ることはないと思う。「他地区に移って家を新築した」というニュースは、日を追うごとに増えていることは確かだ。人口の減少は確かで、町として成り立つか疑問だ。浪江町、双葉町、大熊町の３町が一つになるしかないじゃないだろうかなどと思っている。とんでもない人生の終焉を迎えることになってしまった。（失礼しました）	250
31	住宅	84	男性	70	1	浪江町	4	県外	居住制限区域と避難指示解除準備区域にそれぞれ戸建の住居を持っておりますが、インフラ、または、商店、病院などの計画が遅れているので、埼玉県内に戸建<span class="selected">住宅</span>を購入したので、生涯の場にしたい。	91
25	事故	1192	男性	70	10	双葉町	2	県内	このような大震災による住民の大量移動、避難、住居の住み替えなどは、今までは予想外としてされていたため、検討はされなかったと思う。前例としては旧ソ連時代のチェルノブイリ原発<span class="selected">事故</span>があったと思う。しかし、最近の災害の事例は今までのような軽いものではなく、必ずといって大きな事変を伴っており、それぞれに危機感を持って対応すべきと考える。それに伴う法律の変更など、時代の変化に準じた考え方で対処すべきと思う。	199
25	東京電力	650	男性	70	1	浪江町	4	県内	原発避難住民が国の行政機関に要望する要望事項の国の返答が曖昧であり、信用がおけない状況にあり、<span class="selected">東京電力</span>及び国の行政機関の避難住民に対する損害賠償も完全賠償ではなく、請求しなければ支払いをせず、曖昧にしている。これらのことから、避難住民、および、その自治体も将来の見極めができず、すべてに決断ができず、迷いに迷い続けているのが現状である。	168
24	除染	909	女性	70	10	富岡町	3	県内	震災から３年８か月いまだに先が見えません。私たちもどう判断していいかすごく迷っています。家にはたまに帰る。<span class="selected">除染</span>も終わりきれいになっている。その姿を見ると帰りたい気持ちも起こる。でも帰ることはできない。本当に淋しい気持ちで一杯です。今のところは借上げ住宅にいますが、町と違い便利はいいです。とにかく一にも二にも早く復興住宅ができることを待ちに待っている。仮設住宅にいる方はもっと大変だと思います。	197
22	希望	13	男性	70	10	浪江町	4	県内	私は来年、後期高齢者になるので、なんの<span class="selected">希望</span>もありません。また、息子は東京都民なので帰って来る予定がなく、自宅は廃屋になるので、町がどうなるか全く関心がありません。	81
22	将来	995	女性	70	2	大熊町	2	県内	<span class="selected">将来</span>何十年先になるかと思いますが子孫、子どもたちが帰れる町になってほしいと思います。	42
22	現在	1194		70	10	双葉町		県内	<span class="selected">現在</span>地で住みつき、慣れるよう努力します。	20
21	施設	159	女性	70	10	浪江町	4	県内	私は今、７３歳です。夫と義母と３人で仮設にいます。母は７５歳でデイサービス、ショートなどに行っていますが、最近、身体も弱り、介護のほうも大変きつくなりました。夫がパーキンソン病や神経痛で介護を手伝ってくれないからです。子どもたちは今、子どもの教育でいちばん大変なときなので、頼るのも心苦しいです。仮設は狭いので、<span class="selected">施設</span>に預けたほうがよいと思うし、また、私たちと一緒にいたほうが幸せかなとも思うし、今、迷っています。１日も早く南相馬市あたりに帰ったほうがよいとも思うし、できることなら、わが浪江町に行きたいので、早急に浪江町に公営住宅を作っていただきたいと思います。	281
21	住民	542	男性	70	10	双葉町	1	県内	３０年後の長期展望などはゼロに等しい。特に双葉町、大熊町は町機能だけ残っても、<span class="selected">住民</span>のいない町では無に等しい。	54
20	子ども	265	男性	70	10	富岡町	3	県内	できるかぎり早く、<span class="selected">子ども</span>たちが住める場所にしてほしい。	27
18	地区	1099	女性	70	10	大熊町	3	県内	大川原<span class="selected">地区</span>以外のことはよく分かりませんが、私は仮の町でも大川原住民が少しでもまとまって暮らしたかった。でも４年目を迎える今、遅いと思います。大川原<span class="selected">地区</span>はみんな、持ち家でのんびり暮らしていた。大きな声で歌を歌ってもほかに聞こえることなく、自然そのもの、これからは一歩外に出るとよその家、精神的にもストレスがたまりそうで、これからはとても不安です。	172
17	場所	285	女性	70	7	浪江町	4	県内	ふるさとと同じ気候と環境も同じような<span class="selected">場所</span>に住みたいと思うので、１日も早く相馬の復興住宅に入りたいです。	51
17	時間	789		70	4	大熊町	2	県内	われわれ老人には<span class="selected">時間</span>残りありません。町の復興、私たちは見ることができません。あと３，４年長生きして見れれば、一目、大熊町の復興の姿をと心の中では思っております。今後は子ども、孫たちに託したいと思っております。	104
16	町民	882	男性	70	10	浪江町	3		町の復興計画は作成されているが、計画どおりには進まず、３年９か月が過ぎました。現在の状況を踏まえ、これからの帰還までの工程を、町の具体像を早く示してほしい。<span class="selected">町民</span>は帰還できるのか、できないのか不安な避難生活を送っている方々が多数おられると思う。	121
16	高齢者	235	女性	70	10	浪江町	3	県外	東日本大震災から３年以上すぎた今も１人で避難生活を送っている毎日なので、寂しくて気持ちも沈みがちで、何も手に付きません。<span class="selected">高齢者</span>（８５歳）のため、友達もなく、周りを見ても、若い方や中年の方（５０代）が多く、何日経っても会話をすることがありません。安心して暮らせる<span class="selected">高齢者</span>の場所がほしいと思っております。	149
16	土地	679	女性	70	10	浪江町		県内	避難生活も長期化し、最初は浪江に戻りたいと思いが強かったが、地区の多くの人が<span class="selected">土地</span>を求め、家を再建し始めているので、帰還するという気持ちが揺らいでいる。賠償の件についても、事務がもっと簡素化されればスムーズに記入できる。東電の誠意が見られない。	121
16	双葉町	37	男性	70	2	双葉町	1		<span class="selected">双葉町</span>へは帰りたくても帰れないので、何とも言えない。今、居住している所で、精一杯、頑張るしかない。	49
15	自分	258	女性	70	10	浪江町	4	県内	国は線量だけで低くなったから帰そうとする。私たちは帰還ということばに、とても矛盾を感じながら、３年８か月にもなりました。ふるさとに帰ると（一時帰宅）、どのようにして新しい町並みにできるのか、ストレスがたまります。精神的な心の重さはどうすればよいのか。こんな基本的な悩みを１人で解決できないでいるのに、「<span class="selected">自分</span>で決めよ」と国、県、町は言う。国民年金に頼れません。どうしたらいいのか、こちらのほうで、国、東電に聞きたいです。家の中でも考え方がさまざまで、まとまりません。これからのことは、まだまだ迷っています。でも、あと、１、２年で決めなければならないです。	276
14	地域	109	男性	70	6	富岡町	4	県外	絶対、放射線の影響のない所へ集団移転を望みます。１か所に集まってというのは無理のことでしょうから、同じ区内に３か所くらいに分散され、<span class="selected">地域</span>の人たちとも交流し、コミュニケーションがとれることが大事なことと思います。そこの市町村民となることです。	120
13	賠償	39	女性	70	10	浪江町	4	県内	避難指示解除準備区域でも、雨漏り、ネズミによる被害はひどく、帰還困難区域と一緒です。みんな平等にしてもらいたいと思います。ふと、セカンドタウンも必要かな？と思うときもあります。あまり参考にならなくてごめんなさい。自宅をどうするかを考えると、なかなか町のことまで考えられません。力がなくてすみません。ネズミ、雨漏り、朽ち行く我が家、移住考えみたけれど、<span class="selected">賠償</span>では足りず、ローンも組めない老夫婦。	195
13	困難	421	男性	70	1	浪江町	2	県外	避難生活も、はや来年で４年を数えることになりますが、思えば、年齢のこともあり、県内を希望し、各種機関に依頼しましたが、不可能でした。特に妻が車いす生活で、障害者住宅でないと、生活が<span class="selected">困難</span>な条件のこともあり、諦め、埼玉に住む息子の紹介により、川口市営住宅の身障者住宅に世話になってきました。大変、助かってきました。思いは震災前の浪江町。人口２２０００で、いつでも活気があり、あの時代が懐かしく浮かんできます。あの活気に満ちた賑やかさ。放射要素の恐ろしさ、誰も想像はなかったと思います。突然の出来事、残念な思いです。かつて、私などは１０ヘクタールの水田を耕作しておりました。半分は借地で、張り切って頑張ってきました。おかげで体力もあり、元気でありましたが、住宅の生活は、年齢とともに、体力が減退し、残念な思いにあります。放射能事故がなかったらと思い、本当に残念な思いですが、福島に行ったら、野菜づくりを希望しております。	407
