often	keyword	no	sex	age	occupation	town	area	stay	expression	count
19	若い人	850	女性		10	大熊町	1	県内	バラバラになっている今、これからの<span class="selected">若い人</span>たちが生きていくうえで、明るい見通しのある制度になるよう願っています。	55
16	孫	818	男性	70	2	浪江町	3	県内	移住した人の不動産は国などで買ってほしい。子<span class="selected">孫</span>に苦財を残したくない。（将来発生する税金などある）元のように戻ることは不可能だと思います。財物の賠償金の計算がおかしい、すべて再取得価格にすべし、高齢者は精神的に病気になっている。すぐに若い人は戻らないと思う。町の形が消滅すると思う。	140
16	元気	599	女性	70	10	浪江町	3	県内	私は８０歳。これから何年生きるかと思うこのごろです。隣りの仲良しが亡くなられたばかりですので悲しいです。<span class="selected">元気</span>でいたのに、悪くなって１週間くらいで逝ってしまいました。今は施設に行く人がいますが、私は国民年金で暮らしていますので、施設には入れません。福島市にいたいと思っています。	138
16	思い	649	女性	70	10	浪江町	3	県内	浪江町の住民はほとんど帰る人はいないと<span class="selected">思い</span>ます。老人の人は帰りたいと思っていてもその子どもたちが反対すると思いますし、事実、新居を建て移り住む人が増えていて、また、老人たちは今さら家を新築しても何年も住まないうちに死を迎えるようになるので、復興住宅で最後までと言う人も多いみたいです。	142
15	セカンド	1146	女性	40	10	浪江町	2	県内	町外コミュニティ、<span class="selected">セカンド</span>タウンなど・・どうするべきか・・、町や行政ごとに移住するのは遅すぎる発想だと思う。今では個々・・生活拠点を考え行動している。自立しようとしている人への支援も忘れずにいてほしい。	101
15	老人	220	女性	60	4	富岡町	3	県内	若い人が働く場所を確保して、１人暮らしの<span class="selected">老人</span>が住みやすい町にしてほしいと思います。	41
14	年齢	86	男性	60	2	浪江町	4	県外	特になし。理由として、<span class="selected">年齢</span>的に自分でなんでもできるとして１０年。新たな土地で原発を気にしないで生活したいので。	55
14	意見	137	男性	70	1	浪江町	3	県内	大地震や大津波の記録を教科書や体験記を本にして図書館に保持してほしい。住民の声、有名人の感想や<span class="selected">意見</span>、学者の正しい研究成果を後世に伝えてほしい。大きくできないときは、町内で小さな記念館のような費用のあまりかからないものを保存したらどうかと思う。これはどこでもやっていると思いますが、どうでしょう。特に海岸沿いの人々の被害体験など、海岸沿いで大津波で逃げ切れないときの人々のために、高い建物、高台などを設けたほうがいいのではないでしょうか。山など近くの道を、道路もしくは歩道など作って。	241
13	日本	678		60	7	大熊町	3	県内	双葉郡は廃炉や除染の作業員の町にすればいいと思う。また、米軍基地にしたりとかすれば<span class="selected">日本</span>全体のためにもよいのではないでしょうか。	63
13	学校	733	女性	40	3	富岡町	4	県内	避難者の多くは避難先の土地で未来に進んでいる。ふるさとに戻りたい人、仕事、<span class="selected">学校</span>の関係で戻りたくても戻れない人もいる。それぞれの選択に任せて同じ対応を希望します。	80
