often	keyword	no	sex	age	occupation	town	area	stay	expression	count
100	町	52	男性	50	2	浪江町	2	県外	方向性が見えません。自分の老後のこと。親の介護のこと。代々続いた家、お墓をどうすればよいのか。理解、判断できる状況にありません。もうすぐ４年が終わろうとしています。国、東電、<span class="selected">町</span>の三本矢で、具体的な道筋を逆に提示してほしい。	111
76	生活	213	男性	60	10	双葉町	2	県内	何年も宅地の手入れができなければ、いずれは山林やヤブになると思う。若い人たちがそこで再度<span class="selected">生活</span>をすることはないと思いますが。	61
51	今	54	男性	60	10	浪江町	1	県内	放射線量が高い地区もあり、なくならなければ、元のような町にはならないと思うので、線量を下げて、<span class="selected">今</span>までの所ではない所に町の中心ができるのではないだろうか。	76
45	家	233	男性	70	10	双葉町	2	県内	７０歳ですので、あと何年生きられるかが心配です。復興住宅に入っても<span class="selected">家</span>賃を無料にしてもらいたい。	47
42	国	353	男性		10	双葉町	2	県内	すでに原発事故は風化されつつあります。選挙のときだけの話題に上がっているように思われます。「福島の復興なくして、日本の復興はない」　あの国の方針はどこへ行ったんでしょうね。避難者と避難先住民とのあつれきや、避難者どうしのいがみ合いなどを、<span class="selected">国</span>は知らないでしょうね。	131
38	帰還	1092	男性	60	10	浪江町	2	県内	自分たちの代では<span class="selected">帰還</span>できなくても、子や孫の代になり出入りできるよう手入れはしていてほしい。一時帰宅するたびに家や土地が荒れていく姿を見るのがつらい。	74
36	復興	716	男性	60	1	大熊町	2	県内	早く<span class="selected">復興</span>させること、戻らない人は仕方ない。戻る人だけで暮らせばよい。	34
35	原発	703	女性	40	3	大熊町	1	県内	将来のことはあまり考えられない。<span class="selected">原発</span>が今のままだと思っているのが不思議…。新しい生活に向けて進めているが、今度の家も、また、「３．１１」のように家を捨てて逃げるようになると思っている。情報を得るために福島県内に住んでいるだけ。平和ボケしてる福島県民が不思議…。「逃げる」経験をしてない人達がうらやましい…。	153
35	避難	460	女性	60	8	大熊町	2	県内	これから先、何年も<span class="selected">避難</span>者ではいられないと思う。ある程度のところで区切りを付けなくてはいけないと思う。アンケートの質問がおかしいし、答えられない問いが多い。もう決断して、会津やいわき市に新しい住みかを作っている人もいる。迷っている人ばかりじゃありません。もう少しアンケート内容を考えることが必要だ。	148
28	ふるさと	982	男性	60	4	大熊町	1	県内	苦労して現在の生活を過ごしてきた。居住により自分の今後の生活が不安である。また、子どもに対しては<span class="selected">ふるさと</span>がなく、新天地に来ても心が落ち着かない様子。だんだん遠ざかって行ってしまう。	90
28	土地	372	男性	50	6	双葉町	2	県内	町を存続か否か、早めに決めるべき。私は、町を近くの自治体の<span class="selected">土地</span>に作るほうがよいと思います。（インフラも含め）	54
25	将来	1075	男性	70	10	大熊町	1	県内	８２歳になるので<span class="selected">将来</span>のことについては何も言えないが、１人暮らしの老人に対する居住や医療について考えてもらいたい。医療老人ホームの充実など。	69
25	事故	739	男性	70	2	浪江町	1	県内	原発<span class="selected">事故</span>前の浪江町に戻してほしい。	17
25	東京電力	1035	男性	50	5	浪江町	1	県内	町村が統一して行動を起こさないから、国にも<span class="selected">東京電力</span>にも思いが通らない状態での３年９ヶ月！　あまりにも時間がたちすぎました。	61
24	除染	615	男性	60	10	富岡町	2	県内	あまり先が長いとは思われないので、帰還困難区域の<span class="selected">除染</span>を、帰還時期をできるだけ早く教えてほしい。	47
24	住民	501		70	8	双葉町	1		震災より３年過ぎても、心の空洞は埋まることはありません。隣組もバラバラ。町民も全国に散らばり、友人にも１回も会っていないです。３年も経過する前に、居住地を確保し、町民を集めるべきだと思います。そうすれば、町の将来も安定するのではないかと考えます。避難した場所で家を購入して住んでいるのが現状なので、正直なところ、<span class="selected">住民</span>票も移さなくてはと考えています。皆さん、<span class="selected">住民</span>票を移したら、町は消滅してしまいます。いつまで町が続くのか心配になります。	217
24	双葉町	357		70	1	双葉町	1	県内	いくら住めない町になったとしても、<span class="selected">双葉町</span>は消されては困る。この原発事故が歴史上、記録されることでしょう。そのためにも、<span class="selected">双葉町</span>を存続させたい。住民がどこにバラバラに住んでも、いつでも、ふるさとに帰れるよう、町として受け入れ施設、せめて宿泊できる施設だけでも完備してほしい。そこが中間貯蔵施設ができたときの周辺の観光拠点にもなるかも？と思います。	171
22	子ども	477	女性	60	10	富岡町	2	県外	夜の森で結婚生活を始め、<span class="selected">子ども</span>を大きくして、嫁がせ、自分たちばかりでなく、子どもたちのふるさと、富岡町です。町歌を歌うと涙します。１日も早く、住むことはできなくても、自由に行き来でき、人々の姿が見かけられる状態になってほしい。家の話、これからの話をすると、主人と口論になり、話が進まず、怒られてばかり。意見の食い違い、書いてないところはお前が書け、と言われたので、女、６０代が書きました。支援、復興が大事だと思う。	207
20	施設	1018	男性	70	1	浪江町	2	県内	戻れるのなら戻りたい。浜通りは生活するうえで季節的にも慣れた所です。放射性の少ない所、除染の終わって少ない所、公営住宅、老人<span class="selected">施設</span>、アパートの下に商店、いろいろ家の周りにも人が多く集まる所、できれば若者も帰って来ると思う。	110
